t,imu_gx,imu_gy,imu_gz,imu_ax,imu_ay,imu_az,gps_t,gps_px,gps_py,gps_pz,gps_vx,gps_vy,gps_vz,gps_valid,baro_alt,baro_valid
0.365000,0.026754,-0.025998,0.071343,-0.339152,1.240998,-11.193453,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.367500,0.106040,0.032917,0.019854,1.741446,-2.250881,-7.085691,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.370000,-0.179211,0.076918,0.185018,-0.802117,-2.470173,-12.039803,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.372500,0.023606,-0.152201,0.058420,-3.585162,0.451916,-12.037951,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.375000,-0.103921,-0.051546,0.111253,-2.671954,0.824414,-10.810918,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.377500,0.054641,0.059096,-0.287587,-0.509878,0.789302,-11.471807,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.380000,0.116570,-0.001631,-0.115117,-1.757423,1.972117,-13.754316,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,62.4316,1
0.382500,-0.112514,-0.063841,-0.076057,-2.270248,3.126548,-9.977573,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.385000,0.203763,0.009529,0.028630,-1.074917,-1.900211,-11.653866,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.387500,-0.060400,-0.023208,-0.019518,-0.143583,-1.253881,-9.583094,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.390000,0.173300,-0.130149,0.081083,-0.042542,-0.695280,-9.702156,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.392500,-0.025365,0.023726,-0.072608,0.491343,-0.585969,-11.483629,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.395000,-0.005539,-0.049207,0.225532,0.605121,0.702237,-9.303760,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.397500,0.066178,-0.122586,0.181840,0.241059,-2.303998,-7.533586,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.400000,-0.075382,0.016861,-0.002842,1.593189,0.871063,-9.881959,0.200000,-0.7505,0.7277,-64.0106,-0.000209,0.147920,-0.083666,1,62.7001,1
0.402500,0.069627,0.195509,-0.072205,-1.557723,0.506927,-8.065790,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
