t,sensor,innov_0,innov_1,innov_2,innov_3,innov_4,innov_5,nis,dim,accepted
1.122500,MAG,0.99983970,-2.43591097,2.16660076,0.00000000,0.00000000,0.00000000,16.519986,3,0
1.122500,BARO,-0.09112331,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.030600,1,1
1.142500,MAG,1.15729046,-0.62974804,1.85723394,0.00000000,0.00000000,0.00000000,7.961779,3,1
1.142500,BARO,-0.88115535,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.876519,1,1
1.162500,MAG,-0.08733002,-0.79897771,0.26447918,0.00000000,0.00000000,0.00000000,0.957017,3,1
1.162500,BARO,-0.40509594,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.610739,1,1
1.182500,MAG,0.68302256,0.70753830,0.22909640,0.00000000,0.00000000,0.00000000,1.444080,3,1
1.182500,BARO,-0.25247330,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.238167,1,1
1.202500,MAG,0.07086650,-0.36656773,2.54041631,0.00000000,0.00000000,0.00000000,9.997827,3,1
1.202500,BARO,0.43102795,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.696544,1,1
1.205000,GPS,-1.71818413,2.21668323,1.69401279,0.04423610,-0.05444014,0.02552473,4.004622,6,1
1.222500,MAG,2.74840577,1.03442748,1.63968679,0.00000000,0.00000000,0.00000000,16.799234,3,0
1.222500,BARO,0.08297116,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.025476,1,1
1.242500,MAG,1.88530402,-1.02357535,0.69180544,0.00000000,0.00000000,0.00000000,7.179529,3,1
1.242500,BARO,-0.14942867,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.083020,1,1
1.262500,MAG,0.38413961,-0.20796574,1.59662594,0.00000000,0.00000000,0.00000000,4.220509,3,1
1.262500,BARO,-0.53976726,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.087637,1,1
1.282500,MAG,1.50394715,0.17470619,0.18588722,0.00000000,0.00000000,0.00000000,3.317620,3,1
1.282500,BARO,-0.28777104,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.310237,1,1
1.302500,MAG,-0.39444963,-0.11369498,0.07912110,0.00000000,0.00000000,0.00000000,0.242750,3,1
1.302500,BARO,0.05636001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.011937,1,1
1.305000,GPS,2.85175352,-0.01847999,-0.72618081,-0.37231517,0.30266634,0.17182960,8.023509,6,1
1.322500,MAG,1.10365877,0.67148765,0.89736354,0.00000000,0.00000000,0.00000000,3.700337,3,1
1.322500,BARO,-0.41390771,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.633997,1,1
1.342500,MAG,0.37482114,0.06358579,2.15941284,0.00000000,0.00000000,0.00000000,7.396465,3,1
